symbol,trading_date,open,high,low,close,volume
AAPL,2020-02-03,76.075,78.3725,75.555,77.165,173788400
AAPL,2020-02-04,78.8275,79.91,78.4075,79.7125,136616400
AAPL,2020-02-05,80.88,81.19,79.7375,80.3625,118826800
AAPL,2020-02-06,80.6425,81.305,80.065,81.3025,105425600
AAPL,2020-02-07,80.5925,80.85,79.5,80.0075,117684000
AAPL,2020-02-10,78.545,80.3875,78.4625,80.3875,109348800
AAPL,2020-02-11,80.9,80.975,79.6775,79.9025,94323200
AAPL,2020-02-12,80.3675,81.805,80.3675,81.8,113730400
AAPL,2020-02-13,81.0475,81.555,80.8375,81.2175,94747600
AAPL,2020-02-14,81.185,81.495,80.7125,81.2375,80113600
AAPL,2020-02-18,78.84,79.9375,78.6525,79.75,152531200
AAPL,2020-02-19,80.0,81.1425,80.0,80.905,93984000
AAPL,2020-02-20,80.6575,81.1625,79.5525,80.075,100566000
AAPL,2020-02-21,79.655,80.1125,77.625,78.2625,129554000
AAPL,2020-02-24,74.315,76.045,72.3075,74.545,222195200
AAPL,2020-02-25,75.2375,75.6325,71.5325,72.02,230673600
AAPL,2020-02-26,71.6325,74.47,71.625,73.1625,198054800
AAPL,2020-02-27,70.275,71.5,68.24,68.38,320605600
AAPL,2020-02-28,64.315,69.6025,64.0925,68.34,426510000
AAPL,2020-03-02,70.57,75.36,69.43,74.7025,341397200
AAPL,2020-03-03,75.9175,76.0,71.45,72.33,319475600
AAPL,2020-03-04,74.11,75.85,73.2825,75.685,219178400
AAPL,2020-03-05,73.88,74.8875,72.8525,73.23,187572800
AAPL,2020-03-06,70.5,72.705,70.3075,72.2575,226176800
AAPL,2020-03-09,65.9375,69.5225,65.75,66.5425,286744800
AAPL,2020-03-10,69.285,71.61,67.3425,71.335,285290000
AAPL,2020-03-11,69.3475,70.305,67.965,68.8575,255598800
AAPL,2020-03-12,63.985,67.5,62.0,62.0575,418474000
AAPL,2020-03-13,66.2225,69.98,63.2375,69.4925,370732000
AAPL,2020-03-16,60.4875,64.77,60.0,60.5525,322423600
AAPL,2020-03-17,61.8775,64.4025,59.6,63.215,324056000
AAPL,2020-03-18,59.9425,62.5,59.28,61.6675,300233600
AAPL,2020-03-19,61.8475,63.21,60.6525,61.195,271857200
AAPL,2020-03-20,61.795,62.9575,57.0,57.31,401693200
AAPL,2020-03-23,57.02,57.125,53.1525,56.0925,336752800
AAPL,2020-03-24,59.09,61.9225,58.575,61.72,287531200
AAPL,2020-03-25,62.6875,64.5625,61.075,61.38,303602000
AAPL,2020-03-26,61.63,64.67,61.59,64.61,252087200
AAPL,2020-03-27,63.1875,63.9675,61.7625,61.935,204216800
AAPL,2020-03-30,62.685,63.88,62.35,63.7025,167976400
AAPL,2020-03-31,63.9,65.6225,63.0,63.5725,197002000
AAPL,2020-04-01,61.625,62.18,59.7825,60.2275,176218400
AAPL,2020-04-02,60.085,61.2875,59.225,61.2325,165934000
AAPL,2020-04-03,60.7,61.425,59.7425,60.3525,129880000
AAPL,2020-04-06,62.725,65.7775,62.345,65.6175,201820400
AAPL,2020-04-07,67.7,67.925,64.75,64.8575,202887200
AAPL,2020-04-08,65.685,66.8425,65.3075,66.5175,168895200
AAPL,2020-04-09,67.175,67.5175,66.175,66.9975,161834800
AAPL,2020-04-13,67.0775,68.425,66.4575,68.3125,131022800
AAPL,2020-04-14,70.0,72.0625,69.5125,71.7625,194994800
AAPL,2020-04-15,70.6,71.5825,70.1575,71.1075,131154400
AAPL,2020-04-16,71.845,72.05,70.5875,71.6725,157125200
AAPL,2020-04-17,71.1725,71.7375,69.215,70.7,215250000
AAPL,2020-04-20,69.4875,70.42,69.2125,69.2325,130015200
AAPL,2020-04-21,69.07,69.3125,66.3575,67.0925,180991600
AAPL,2020-04-22,68.4025,69.475,68.05,69.025,116862400
AAPL,2020-04-23,68.9675,70.4375,68.7175,68.7575,124814400
AAPL,2020-04-24,69.3,70.7525,69.25,70.7425,126161200
AAPL,2020-04-27,70.45,71.135,69.9875,70.7925,117087600
AAPL,2020-04-28,71.27,71.4575,69.55,69.645,112004800
AAPL,2020-04-29,71.1825,72.4175,70.9725,71.9325,137280800
AAPL,2020-04-30,72.49,73.6325,72.0875,73.45,183064000
AAPL,2020-05-01,71.5625,74.75,71.4625,72.2675,240616800
AAPL,2020-05-04,72.2925,73.4225,71.58,73.29,133568000
AAPL,2020-05-05,73.765,75.25,73.615,74.39,147751200
AAPL,2020-05-06,75.115,75.81,74.7175,75.1575,142333600
AAPL,2020-05-07,75.805,76.2925,75.4925,75.935,115215200
AAPL,2020-05-08,76.41,77.5875,76.0725,77.5325,133838400
AAPL,2020-05-11,77.025,79.2625,76.81,78.7525,145946400
AAPL,2020-05-12,79.4575,79.9225,77.7275,77.8525,162301200
AAPL,2020-05-13,78.0375,78.9875,75.8025,76.9125,200622400
AAPL,2020-05-14,76.1275,77.4475,75.3825,77.385,158929200
AAPL,2020-05-15,75.0875,76.975,75.0525,76.9275,166348400
AAPL,2020-05-18,78.2925,79.125,77.58,78.74,135178400
AAPL,2020-05-19,78.7575,79.63,78.2525,78.285,101729600
AAPL,2020-05-20,79.17,79.88,79.13,79.8075,111504800
AAPL,2020-05-21,79.665,80.2225,78.9675,79.2125,102688800
AAPL,2020-05-22,78.9425,79.8075,78.8375,79.7225,81803200
AAPL,2020-05-26,80.875,81.06,79.125,79.1825,125522000
AAPL,2020-05-27,79.035,79.6775,78.2725,79.5275,112945200
AAPL,2020-05-28,79.1925,80.86,78.9075,79.5625,133560800
AAPL,2020-05-29,79.8125,80.2875,79.1175,79.485,153532400
AMZN,2020-02-03,100.53,102.425,100.0125,100.21,117834000
AMZN,2020-02-04,101.494,102.99,100.7685,102.4835,105786000
AMZN,2020-02-05,103.551,103.551,101.6,101.9935,87524000
AMZN,2020-02-06,102.051,102.815,101.24,102.5115,63660000
AMZN,2020-02-07,102.0995,104.9265,101.905,103.964,101906000
AMZN,2020-02-10,104.2505,106.78,104.248,106.6955,101124000
AMZN,2020-02-11,107.545,109.2975,106.8,107.54,114920000
AMZN,2020-02-12,108.16,109.0125,107.7645,108.0,66686000
AMZN,2020-02-13,107.2495,108.514,107.1,107.4935,60636000
AMZN,2020-02-14,107.784,107.952,106.2945,106.7435,52124000
AMZN,2020-02-18,106.251,108.3035,106.2055,107.7835,58912000
AMZN,2020-02-19,108.39,109.255,108.056,108.511,51224000
AMZN,2020-02-20,108.6535,108.8395,106.3725,107.655,62626000
AMZN,2020-02-21,107.1075,107.2275,104.4,104.7985,92926000
AMZN,2020-02-24,100.159,101.965,99.3985,100.4645,130940000
AMZN,2020-02-25,101.321,101.73,97.921,98.637,124382000
AMZN,2020-02-26,98.514,100.7335,98.0225,98.9795,104492000
AMZN,2020-02-27,96.719,98.75,94.138,94.215,162880000
AMZN,2020-02-28,90.7315,94.488,90.5565,94.1875,189620000
AMZN,2020-03-02,95.3245,97.7255,93.5,97.6975,135234000
AMZN,2020-03-03,98.7685,99.8165,94.4045,95.4495,150690000
AMZN,2020-03-04,97.3285,98.9,96.1,98.7915,95458000
AMZN,2020-03-05,96.65,98.036,95.5,96.2015,94964000
AMZN,2020-03-06,93.75,95.5435,93.475,95.0545,105472000
AMZN,2020-03-09,88.693,93.1385,88.0645,90.0305,156264000
AMZN,2020-03-10,93.544,94.7135,90.9085,94.591,142666000
AMZN,2020-03-11,92.8925,93.566,90.075,91.043,112496000
AMZN,2020-03-12,86.099,88.25,83.75,83.8305,226924000
AMZN,2020-03-13,87.75,89.3155,84.031,89.25,176194000
AMZN,2020-03-16,82.0755,87.9725,81.3015,84.4575,178346000
AMZN,2020-03-17,88.7735,92.889,84.462,90.392,218342000
AMZN,2020-03-18,87.5,92.083,87.25,91.5,192904000
AMZN,2020-03-19,93.0,97.25,91.6325,94.0465,207998000
AMZN,2020-03-20,96.3155,97.85,91.0365,92.3045,196358000
AMZN,2020-03-23,91.3875,95.97,90.6,95.1415,156170000
AMZN,2020-03-24,97.575,97.75,95.017,97.005,142942000
AMZN,2020-03-25,96.0345,97.513,94.289,94.292,129582000
AMZN,2020-03-26,95.1,97.8245,94.4645,97.7745,124426000
AMZN,2020-03-27,96.543,96.9895,94.996,95.005,107758000
AMZN,2020-03-30,96.1415,98.6815,95.617,98.1975,122522000
AMZN,2020-03-31,98.2175,99.651,97.2005,97.486,102472000
AMZN,2020-04-01,96.6485,97.248,94.65,95.385,82438000
AMZN,2020-04-02,95.082,96.3765,94.5,95.9415,86720000
AMZN,2020-04-03,95.5575,96.3165,94.4575,95.3295,72198000
AMZN,2020-04-06,96.8,99.926,96.501,99.8795,115464000
AMZN,2020-04-07,100.8555,101.786,99.881,100.58,102280000
AMZN,2020-04-08,101.05,102.2,100.5575,102.15,79546000
AMZN,2020-04-09,102.215,102.65,100.883,102.138,92930000
AMZN,2020-04-13,102.0,109.0,101.9,108.4435,134334000
AMZN,2020-04-14,110.0235,114.6,109.3105,114.166,161744000
AMZN,2020-04-15,112.884,116.6685,112.25,115.384,137332000
AMZN,2020-04-16,117.3,123.05,116.75,120.4095,240764000
AMZN,2020-04-17,118.6165,120.0,115.801,118.75,158600000
AMZN,2020-04-20,119.4975,122.249,119.3025,119.6805,115414000
AMZN,2020-04-21,120.8305,121.4155,113.983,116.406,149534000
